,,,1740264480169,,177,,,0,,,,,,233,31,,,,,,,,,,,
Kickstarter Link,RPGGeek Item ID,RPGGeek Item Link,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,OSR-Core,OSR-Adjacent
"https://www.kickstarter.com/projects/1395919461/against-the-dark-yogi-mythic-india-roleplaying?ref=bggforums',",item3068131,,https://www.kicktraq.com/projects/1395919461/against-the-dark-yogi-mythic-india-roleplaying/,RPG,,https://rpggeek.com/rpgsystem/33740/saga-machine,Against The Dark Yogi: Mythic India Roleplaying,March 6 2014,Y,USD,"11,018.00",1,"11,018.00",Y,N,Y,"$11,018",275.00%,Ended,11018,1613497304574,February 4 2014,Against the Dark Yogi is a complete roleplaying game that brings the excitement and high action of Indian myths to the tabletop.,//s3.amazonaws.com/ksr/projects/694951/photo-small.jpg,,
"http://www.kickstarter.com/projects/1491400497/alterkine-dossier?ref=bggforums',",item3008732,,https://www.kicktraq.com/projects/1491400497/alterkine-dossier/,non-5E,https://rpggeek.com/rpgsetting/25913/alterkine,,Alterkine: Dossier,March 7 2014,Y,USD,"2,405.00",1,"2,405.00",Y,N,Y,"$2,405",801.00%,Ended,2405,1613497304580,January 6 2014,"Alterkine: Dossier is a companion book to the Alterkine: Player's Handbook, the d20 based role-playing game.",//s3.amazonaws.com/ksr/projects/817647/photo-small.jpg,,
"https://www.kickstarter.com/projects/eloylasanta/amp-year-one-a-modern-supers-rpg-from-third-eye-ga?ref=bggforums',",item3070854,,https://www.kicktraq.com/projects/eloylasanta/amp-year-one-a-modern-supers-rpg-from-third-eye-ga/,RPG,,,"AMP: Year One, A Modern Supers RPG from Third Eye Games",March 8 2014,Y,USD,"14,686.00",1,"14,686.00",Y,N,Y,"$14,686",244.00%,Ended,14686,1613497304574,February 6 2014,"Our newest RPG chronicling the first year people gain super powers in 2015. There are no heroes or villains, only hard choices.",//s3.amazonaws.com/ksr/projects/823735/photo-small.jpg,,
"http://www.kickstarter.com/projects/645319106/river-of-heaven-sf-rpg?ref=bggforums',",item3008738,,https://www.kicktraq.com/projects/645319106/river-of-heaven-sf-rpg/,RPG,,https://rpggeek.com/rpg/1901/openquest,River of Heaven SF RPG,March 8 2014,Y,GBP,"4,118.00",1.6713,"6,882.41",Y,N,Y,"£4,118",411.00%,Ended,6882.41,1613497304581,January 7 2014,"A  science fiction role-playing game set in the 28th Century, using a modified version of the OpenQuest D100 system .",//s3.amazonaws.com/ksr/projects/812386/photo-small.jpg,,
https://www.kickstarter.com/projects/1171175182/mecha-vs-kaiju-a-sci-fi-anime-rpg-for-fate-core?ref=bggforums,item3075759,,https://www.kicktraq.com/projects/1171175182/mecha-vs-kaiju-a-sci-fi-anime-rpg-for-fate-core/,RPG,,https://rpggeek.com/rpgsystem/26506/fate-core,Mecha vs Kaiju: A Sci-Fi Anime RPG for Fate Core,March 9 2014,Y,USD,"4,600.00",1,"4,600.00",Y,N,Y,"$4,600",131.00%,Ended,4600,1613497304576,February 8 2014,Mecha vs Kaiju is role playing game inspired by Japanese anime robots and giant monsters. Powered by Fate Core,//s3.amazonaws.com/ksr/projects/757764/photo-small.jpg,,
"https://www.kickstarter.com/projects/modiphius/mutant-chronicles-3rd-ed-rpg/?ref=bggforums',",item3053538,,https://www.kicktraq.com/projects/modiphius/mutant-chronicles-3rd-ed-rpg/,RPG,,https://rpggeek.com/rpgfamily/1922/mutant,Mutant Chronicles 3rd Ed. RPG,March 9 2014,Y,GBP,"151,072.00",1.67279,"252,711.73",Y,N,Y,"£151,072",1373.00%,Ended,252711.73,1613497304561,January 28 2014,Modiphius unleashes the Dark Legion in the 3rd edition of the dieselpunk sci-fi RPG with brand new content & cinematic rules,//s3.amazonaws.com/ksr/projects/840204/photo-small.jpg,,
"https://www.kickstarter.com/projects/547002972/homebrood?ref=bggforums',",item3084806,,https://www.kicktraq.com/projects/547002972/homebrood/,RPG,,,Homebrood,March 11 2014,Y,USD,"1,670.00",1,"1,670.00",Y,N,Y,"$1,670",668.00%,Ended,1670,1613497304170,February 14 2014,Ever wanted to get your friends into table top role playing games? Homebrood is designed to help new players get into the action.,//s3.amazonaws.com/ksr/projects/860692/photo-small.jpg,,
"https://www.kickstarter.com/projects/59124062/bump-in-the-night-rpg?ref=bggforums',",item3079188,,https://www.kicktraq.com/projects/59124062/bump-in-the-night-rpg/,RPG,,,Bump in the Night RPG,March 12 2014,Y,USD,"3,722.00",1,"3,722.00",Y,N,Y,"$3,722",106.00%,Ended,3722,1613497304172,February 10 2014,"A Roleplaying Game of Paranormal Investigation. Investigate mysteries, debunk hoaxes, and get yourself a TV deal or die trying.",//s3.amazonaws.com/ksr/projects/818001/photo-small.jpg,,
"https://www.kickstarter.com/projects/617292343/ngs-the-narrative-game-system?ref=bggforums',",item3081165,,https://www.kicktraq.com/projects/617292343/ngs-the-narrative-game-system/,RPG,,,NGS - The Narrative Game System,March 14 2014,Y,USD,"6,637.00",1,"6,637.00",Y,N,Y,"$6,637",221.00%,Ended,6637,1613497304174,February 12 2014,NGS is a rules-light tabletop role-playing game that will unleash the awesome power of your imagination.,//s3.amazonaws.com/ksr/projects/819953/photo-small.jpg,,
"https://www.kickstarter.com/projects/davesokolowski/he-who-laughs-last-a-cthulhu-dark-rpg-scenario?ref=bggforums',",item3077814,,https://www.kicktraq.com/projects/davesokolowski/he-who-laughs-last-a-cthulhu-dark-rpg-scenario/,non-5E,https://rpggeek.com/rpgfamily/42773/cthulhu-dark,,He Who Laughs Last - A Cthulhu Dark RPG Scenario,March 15 2014,Y,USD,"9,031.00",1,"9,031.00",Y,N,Y,"$9,031",301.00%,Ended,9031,1613497304176,February 10 2014,"A modern horror RPG scenario set in LA with comedians, ancient magics, and a growing sense of dread. Game rules included.",//s3.amazonaws.com/ksr/projects/774602/photo-small.jpg,,
"https://www.kickstarter.com/projects/shadesofvengeance/era-the-consortium-sci-fi-tabletop-rpg?ref=bggforums',",item3082910,,https://www.kicktraq.com/projects/shadesofvengeance/era-the-consortium-sci-fi-tabletop-rpg/,RPG,,https://rpggeek.com/rpgsystem/35204/era-d10,Era: The Consortium (Sci-Fi Tabletop RPG),March 15 2014,Y,GBP,"1,413.00",,Not Funded,N,Y,N,"£1,413",14.00%,Cancelled,0,1613497304179,February 13 2014,"I know you. You're a gamer, like me. We all want the same thing, MORE. That is what Era: The Consortium offers.",//s3.amazonaws.com/ksr/projects/857139/photo-small.jpg,,
"https://www.kickstarter.com/projects/252728880/the-clay-that-woke-an-rpg-about-minotaurs?ref=bggforums',",item3082908,,https://www.kicktraq.com/projects/252728880/the-clay-that-woke-an-rpg-about-minotaurs/,RPG,,,"The Clay That Woke, an RPG about Minotaurs",March 15 2014,Y,USD,"25,518.00",1,"25,518.00",Y,N,Y,"$25,518",300.00%,Ended,25518,1613497304178,February 13 2014,"Minotaurs in a human civilization sundered by a surreal, trackless jungle. A wholly new RPG from the designer of My Life with Master.",//s3.amazonaws.com/ksr/projects/727971/photo-small.jpg,,
