GameOnTabletop Link,RPGGeek List Item,Type,Non-5E: For RPG,RPG: related to,Project Name,Ended Date,Funding Level,Project Status,Currency,Funding Level,Exchange Rate,FundingLevelUSD,OSR Original,OSR Scene
https://www.gameontabletop.com/cf3641/pathfinder-remaster-livre-des-monstres-des-joueurs-2-aventures.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918990#11918990,non-5E,https://rpggeek.com/rpg/56388/pathfinder-roleplaying-game-2nd-edition,,Pathfinder Remaster : livre des monstres & des joueurs 2 + aventures,July 8 2024,"€118,471.00",Project Ended,EUR,"118,471.00",1.0830,"$128,307.65",,
https://www.gameontabletop.com/cf3871/section-13.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918992#11918992,non-5E,https://rpggeek.com/rpg/37225/the-cthulhu-hack,,Section 13,July 11 2024,"€55,260.00",Project Ended,EUR,"55,260.00",1.0872,"$60,079.22",,
https://www.gameontabletop.com/cf3711/pathfinder-2-tian-xia.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918994#11918994,non-5E,,,Pathfinder 2 – Tian Xia,July 10 2024,"€34,412.00",Project Ended,EUR,"34,412.00",1.0833,"$37,277.83",,
https://www.gameontabletop.com/cf3631/atlas-de-high-fantasy-fabula-ultima.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11918997#11918997,non-5E,https://rpggeek.com/rpg/72028/fabula-ultima,,Atlas de High Fantasy - Fabula Ultima,September 3 2024,"€40,606.00",Project Ended,EUR,"40,606.00",1.1049,"$44,863.54",,
https://www.gameontabletop.com/cf3651/shadowrun-6-cyber-intrigues-mondaines-metaplanaires.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11919000#11919000,non-5E,https://rpggeek.com/rpg/56248/shadowrun-sixth-world-6th-edition,,Shadowrun 6 : Cyber + intrigues mondaines & métaplanaires,June 3 2024,"€71,796.00",Project Ended,EUR,"71,796.00",1.0905,"$78,293.54",,
https://www.gameontabletop.com/cf3051/macadam-fairies.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11919010#11919010,RPG,,,Macadam Fairies,July 5 2024,"€14,117.00",Project Ended,EUR,"14,117.00",1.0849,"$15,315.53",,
https://www.gameontabletop.com/cf2911/das-schwarze-auge-die-echsensumpfe.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11919012#11919012,non-5E,https://rpggeek.com/rpg/25131/das-schwarze-auge-dsa-5th-edition,,Das Schwarze Auge - Die Echsensümpfe,June 5 2024,"€307,695.00",Project Ended,EUR,"307,695.00",1.0874,"$334,587.54",,
https://www.gameontabletop.com/cf2831/dies-irae-5e.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11919020#11919020,5E,,,Dies Irae (5E),May 6 2024,"€68,872.00",Project Ended,EUR,"68,872.00",1.0767,"$74,154.48",,
https://www.gameontabletop.com/cf3351/endless-darkness.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11919024#11919024,non-5E,not in database,,Endless Darkness,May 28 2024,"€11,477.00",Project Ended,EUR,"11,477.00",1.0852,"$12,454.84",,
https://www.gameontabletop.com/cf3001/city-of-mist-into-the-mist.html,https://rpggeek.com/geeklist/360124/gameontabletop-projects?itemid=11919030#11919030,non-5E,https://rpggeek.com/rpg/37475/city-of-mist,,City of Mist - Into the Mist,May 10 2024,"€38,216.00",Project Ended,EUR,"38,216.00",1.0787,"$41,223.60",,
