Kickstarter Link,RPGGeek List Item,RPGGeek List Page,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,FundedDate,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,Funded Value,Last Updated,Start Date,,,,OSR Core,OSR Adjacent,,,,,,
https://www.kickstarter.com/projects/adventureaweek/mini-dungeon-monthly-rpg-zine-for-dandd-5th-editio?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6699126#item6699126,4,https://www.kicktraq.com/projects/adventureaweek/mini-dungeon-monthly-rpg-zine-for-dandd-5th-editio/,5E,,,Mini-Dungeon Monthly: RPG zine for D&D 5th Edition,15-Feb-19,Y,USD,"19,185.00",1,"19,185.00",Y,N,Y,"$19,185 ",1918.00%,Ended,19185,1.60874E+12,February 1 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/cfqvol3ose/creature-feature-quarterly-vol-1-for-the-osr?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6701080#item6701080,4,https://www.kicktraq.com/projects/397372697/creature-feature-quarterly-vol-1-for-the-osr/,non-5E,https://rpggeek.com/rpg/13239/original-dd-compatible-products,,Creature Feature Quarterly Vol. 1 -for- The OSR,15-Feb-19,Y,USD,191,1,191,Y,N,Y,$191 ,382.00%,Ended,191,1.60874E+12,February 1 2019,,,,1,,,,,,,
https://www.kickstarter.com/projects/621873870/degenesis-rebirth-gdr-edizione-italiana?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6694056#item6694056,3,https://www.kicktraq.com/projects/621873870/degenesis-rebirth-gdr-edizione-italiana/,non-5E,https://rpggeek.com/rpg/1707/degenesis,,DEGENESIS: REBIRTH GDR EDIZIONE ITALIANA,15-Feb-19,Y,EUR,"36,711.00",1.1295,"41,465.07",Y,N,Y,"€36,711",437.00%,Ended,41465.07,1.60874E+12,January 30 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/throwigames/gamma-zine-issue-1?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6698754#item6698754,4,https://www.kicktraq.com/projects/throwigames/gamma-zine-issue-1/,non-5E,https://rpggeek.com/rpg/261/gamma-world-1st-edition,,"Gamma Zine, Issue #1",15-Feb-19,Y,USD,"1,399.00",1,"1,399.00",Y,N,Y,"$1,399 ",932.00%,Ended,1399,1.60874E+12,February 1 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/dragonturtlegames/carbon-2185-a-cyberpunk-rpg?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6662410#item6662410,2,https://www.kicktraq.com/projects/dragonturtlegames/carbon-2185-a-cyberpunk-rpg/,RPG,,,Carbon 2185 | A Cyberpunk RPG,15-Feb-19,Y,GBP,"143,738.00",1.2895,"185,350.15",Y,N,Y,"£143,738",1437.00%,Ended,185350.15,1.60874E+12,January 15 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/daytheelf/cats-and-cats?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6699821#item6699821,4,https://www.kicktraq.com/projects/daytheelf/cats-and-cats/,RPG,,,CATS & CATS,15-Feb-19,Y,USD,"3,363.00",1,"3,363.00",Y,N,Y,"$3,363 ",1121.00%,Ended,3363,1.60874E+12,February 1 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/burningwheel/miseries-and-misfortunes-les-fruits-malheureux?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6715521#item6715521,5,https://www.kicktraq.com/projects/burningwheel/miseries-and-misfortunes-les-fruits-malheureux/,RPG,,https://rpggeek.com/rpg/13239/original-dd-compatible-products,Miseries & Misfortunes: Les Fruits Malheureux,16-Feb-19,Y,USD,"9,684.00",1,"9,684.00",Y,N,Y,"$9,684 ",395.00%,Ended,9684,1.60874E+12,February 5 2019,,,,,1,,,,,,
https://www.kickstarter.com/projects/darknaga/dark-naga-haunting-of-hastur-hardback-5e-and-osr?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6666432#item6666432,2,https://www.kicktraq.com/projects/darknaga/dark-naga-haunting-of-hastur-hardback-5e-and-osr/,5E,,,Dark Naga - Haunting of Hastur - Hardback - 5e and OSR,17-Feb-19,Y,USD,"12,228.00",1,"12,228.00",Y,N,Y,"$12,228 ",122.00%,Ended,12228,1.60874E+12,January 18 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/sessionzero/the-tome-of-magical-mystery-5e-compatible?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6674423#item6674423,2,https://www.kicktraq.com/projects/sessionzero/the-tome-of-magical-mystery-5e-compatible/,5E,,,The Tome of Magical Mystery (5E Compatible),20-Feb-19,Y,USD,"30,945.00",1,"30,945.00",Y,N,Y,"$30,945 ",309.00%,Ended,30945,1.60874E+12,January 22 2019,,,,,,,,,,,
https://www.kickstarter.com/projects/2084336794/awaken-the-liborian-saga?ref=bggforums,https://rpggeek.com/geeklist/250272/item/6676480#item6676480,2,https://www.kicktraq.com/projects/2084336794/awaken-the-liborian-saga/,RPG,,,Awaken: The Liborian Saga,21-Feb-19,Y,USD,"10,391.00",1,"10,391.00",Y,N,Y,"$10,391 ",159.00%,Ended,10391,1.60874E+12,January 22 2019,,,,,,,,,,,
