,,,1740264455815,,266,281,128,0,,,,215,193,408,20,8,,,,,,,,
Kickstarter Link,RPGGeek Item ID,RPGGeek Item Link,KickTraq Link,Type,Non-5E: For RPG,RPG: related to,Project Name,,Ended?,Currency,Funding Level,Exchange Rate,LevelUSD,Funded?,Cancelled?,Reached Goal?,ExtractedFunding,ExtractedProgress,ExtractedTrend,,Last Updated,Start Date,,
"http://www.kickstarter.com/projects/1154791902/within-the-devils-reach-dungeon-world-adventures?ref=bggforums',",item2048091,,https://www.kicktraq.com/projects/1154791902/within-the-devils-reach-dungeon-world-adventures/,non-5E,https://rpggeek.com/rpg/11105/dungeon-world,,Within the Devil's Reach - Dungeon World Adventures,March 24 2012,Y,USD,"2,738.00",1,"2,738.00",Y,N,Y,"$2,738",136.00%,Ended,2738,1616169628555,February 22 2012,Three starting adventures for Dungeon World. The first in a series of adventures called the Gears of the Worm God Cycle.,//s3.amazonaws.com/ksr/projects/75695/photo-small.jpg
"http://www.kickstarter.com/projects/1269000670/hellas-swords-and-sandals?ref=bggforums',",item2048093,,https://www.kicktraq.com/projects/1269000670/hellas-swords-and-sandals/,non-5E,https://rpggeek.com/rpg/2445/hellas-worlds-sun-stone,,HELLAS: Swords and Sandals,March 24 2012,Y,USD,"4,776.00",1,"4,776.00",Y,N,Y,"$4,776",106.00%,Ended,4776,1616169628557,February 8 2012,HELLAS is an epic space opera RPG in the style of ancient Greek culture and legend.,//s3.amazonaws.com/ksr/projects/72210/photo-small.jpg
"http://www.kickstarter.com/projects/400897954/lions-of-the-north?ref=bggforums',",item2030653,,https://www.kicktraq.com/projects/400897954/lions-of-the-north/,RPG,,,Lions of the North,March 24 2012,Y,USD,"4,232.00",1,Not Funded,N,N,N,"$4,232",47.00%,Ended,0,1616169628553,January 24 2012,"Lions of the North is a role-playing game that takes place in the 24th century, where a new world is forming fast.",//s3.amazonaws.com/ksr/projects/68161/photo-small.jpg
"http://www.kickstarter.com/projects/ndpaoletta/ndp-microgame-issue-2-vesna-thaw?ref=bggforums',",item2059820,,https://www.kicktraq.com/projects/ndpaoletta/ndp-microgame-issue-2-vesna-thaw/,RPG,,,ndp Microgame Issue #2: Vesna Thaw,March 24 2012,Y,USD,"1,103.00",1,"1,103.00",Y,N,Y,"$1,103",401.00%,Ended,1103,1616169628559,March 8 2012,"Nuclear winter is over. You are a pilot, your robot assembled from the wreckage of the old Soviet Union. What can you rebuild?",//s3.amazonaws.com/ksr/projects/92570/photo-small.jpg
"http://www.kickstarter.com/projects/170831994/school-daze?ref=bggforums',",item2040249,,https://www.kicktraq.com/projects/sandandsteam/school-daze/,RPG,,,School Daze,March 25 2012,Y,USD,"6,440.00",1,"6,440.00",Y,N,Y,"$6,440",214.00%,Ended,6440,1616169628561,February 21 2012,"A collaborative roleplaying game about high school. Tell awesome stories, and make high school fun again!",//s3.amazonaws.com/ksr/projects/77834/photo-small.jpg
"http://www.kickstarter.com/projects/dvr/illustrating-legend?ref=bggforums',",item2038926,,https://www.kicktraq.com/projects/dvr/illustrating-legend/,non-5E,not in system,,Illustrating Legend,April 1 2012,Y,USD,"11,197.00",1,"11,197.00",Y,N,Y,"$11,197",319.00%,Ended,11197,1616169628563,February 19 2012,"Over-funding goes directly to the prevention of scurvy in wild artists. Please, help save these noble creatures.",//s3.amazonaws.com/ksr/projects/25459/photo-small.jpg
"http://www.kickstarter.com/projects/1134441668/risus-free-adventure-project-2012?ref=bggforums',",item2058586,,https://www.kicktraq.com/projects/sjohnross/risus-free-adventure-project-2012/,non-5E,https://rpggeek.com/rpg/1402/risus-anything-rpg,,RISUS Free Adventure Project 2012,April 1 2012,Y,USD,"5,535.00",1,"5,535.00",Y,N,Y,"$5,535",1107.00%,Ended,5535,1616169628565,March 7 2012,"Adventure-modules for Risus: The Anything RPG! Written, produced, tested, and published free forever, for everyone.",//s3.amazonaws.com/ksr/projects/83983/photo-small.jpg
"http://www.kickstarter.com/projects/199503291/untitled-black-guard-press-project?ref=bggforums',",item2054907,,https://www.kicktraq.com/projects/199503291/untitled-black-guard-press-project/,RPG,,,Untitled Black Guard Press Project,April 1 2012,Y,USD,485.00,1,485.00,Y,N,Y,$485,121.00%,Ended,485,1616169628564,March 2 2012,"This project will fund a simple narrative RPG of mayhem and fun, that will be the inaugural game from Black Guard Press,",//s3.amazonaws.com/ksr/projects/78917/photo-small.jpg
"http://www.kickstarter.com/projects/250609397/admiral-o-the-high-seas-naval-adventures-pathfinde?ref=bggforums',",item2055282,,https://www.kicktraq.com/projects/250609397/admiral-o-the-high-seas-naval-adventures-pathfinde/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,"Admiral o' the High Seas - Naval Adventures (Pathfinder, 4e)",April 2 2012,Y,USD,"4,061.00",1,"4,061.00",Y,N,Y,"$4,061",376.00%,Ended,4061,1616169628567,March 3 2012,"Supplement with easy-play rules for naval combat and high seas adventure. Compatible with Pathfinder, 4th Edition, and more.",//s3.amazonaws.com/ksr/projects/80889/photo-small.jpg
"http://www.kickstarter.com/projects/2144376073/mythic-hero?ref=bggforums',",item2016902,,https://www.kicktraq.com/projects/2144376073/mythic-hero/,non-5E,https://rpggeek.com/rpgsystem/2653/hero-system-6,,MYTHIC HERO,April 2 2012,Y,USD,"25,784.00",1,Not Funded,N,N,N,"$25,784",78.00%,Ended,0,1616169629533,February 6 2012,"MYTHIC HERO is a licensed supplement for the HERO System covering the gods of world mythology, mythic roleplaying,and more.",//s3.amazonaws.com/ksr/projects/71792/photo-small.jpg
"http://www.kickstarter.com/projects/2040314005/random-dungeon-generator-as-a-dungeon-map?ref=bggforums',",item2060458,,https://www.kicktraq.com/projects/2040314005/random-dungeon-generator-as-a-dungeon-map/,non-5E,https://rpggeek.com/rpg/356/generic-universal,,Random Dungeon Generator as a Dungeon Map,April 7 2012,Y,USD,"27,789.00",1,"27,789.00",Y,N,Y,"$27,789",1389.00%,Ended,27789,1616169628568,March 7 2012,"A giant, playable D&D poster that is both a dungeon map and the complete rules for generating random dungeons from the 1e DMG.",//s3.amazonaws.com/ksr/projects/79624/photo-small.jpg
"http://www.kickstarter.com/projects/142014231/dwimmermount?ref=bggforums',",item2054898,,https://www.kicktraq.com/projects/autarch/dwimmermount/,non-5E,https://rpggeek.com/rpg/1652/labyrinth-lord,,Dwimmermount: An Old School Fantasy RPG Megadungeon,April 14 2012,Y,USD,"48,756.00",1,"48,756.00",Y,N,Y,"$48,756",487.00%,Ended,48756,1616169628571,March 2 2012,"From the home campaign of GROGNARDIA's James Maliszewski to your gaming table, thanks to your support and a partnership with Autarch",//s3.amazonaws.com/ksr/projects/54883/photo-small.jpg
"http://www.kickstarter.com/projects/1708940685/rogue-glory-a-pathfinder-supplement?ref=bggforums',",item2069357,,https://www.kicktraq.com/projects/1708940685/rogue-glory-a-pathfinder-supplement/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Rogue Glory- A Pathfinder Supplement,April 14 2012,Y,USD,"1,360.00",1,"1,360.00",Y,N,Y,"$1,360",113.00%,Ended,1360,1616169628572,March 12 2012,A Pathfinder supplement expanding the Rogue's options by adding skills and archetypes to help make the Rogue great again.,//s3.amazonaws.com/ksr/projects/79098/photo-small.jpg
"http://www.kickstarter.com/projects/1783179039/dreams-next-gen-roleplaying-game-system?ref=bggforums',",item2079028,,https://www.kicktraq.com/projects/1783179039/dreams-next-gen-roleplaying-game-system/,RPG,,,Rolplaying Adventure System: Dreams (Now with free stuff!),April 14 2012,Y,USD,795.00,1,Not Funded,N,N,N,$795,26.00%,Ended,0,1616169628569,March 15 2012,Roleplaying system designed to take traditional RPGs to the next level,https://ksr-ugc.imgix.net/projects/41289/photo-original.jpg?w=160&h=90&fit=fill&bg=000000&v=1397764632&auto=format&q=92&s=608ada1bf1f9fadc3f0b434482c8a61b
"http://www.kickstarter.com/projects/gamingpaper/free-rpg-day-pathfinder-adventure-from-gaming-pape?ref=bggforums',",item2089831,,https://www.kicktraq.com/projects/gamingpaper/free-rpg-day-pathfinder-adventure-from-gaming-pape/,non-5E,https://rpggeek.com/rpg/2791/pathfinder-1e-compatible-product,,Free RPG Day Pathfinder Adventure from Gaming Paper,April 15 2012,Y,USD,"2,664.00",1,"2,664.00",Y,N,Y,"$2,664",266.00%,Ended,2664,1616169628573,March 28 2012,We are including a Pathfinder adventure in this years Free RPG Day retailer kit.  Help us send more to stores and get yours directly.,//s3.amazonaws.com/ksr/projects/114843/photo-small.jpg
"http://www.kickstarter.com/projects/135802053/mermaid-adventures-an-rpg-of-undersea-fun?ref=bggforums',",item2070469,,https://www.kicktraq.com/projects/135802053/mermaid-adventures-an-rpg-of-undersea-fun/,RPG,,,"Mermaid Adventures, an RPG of Undersea Fun",April 15 2012,Y,USD,"5,085.00",1,"5,085.00",Y,N,Y,"$5,085",254.00%,Ended,5085,1616169628575,March 15 2012,"A new kid-friendly RPG with simple mechanics and beautiful illustrations, great for any gaming group.",//s3.amazonaws.com/ksr/projects/58671/photo-small.jpg
"http://www.kickstarter.com/projects/623939691/adventures-dark-and-deeptm-a-curious-volume-of-for?ref=bggforums',",item2070493,,https://www.kicktraq.com/projects/623939691/adventures-dark-and-deeptm-a-curious-volume-of-for/,RPG,,,Adventures Dark and Deep™ A Curious Volume of Forgotten Lore,April 15 2012,Y,USD,"7,459.00",1,"7,459.00",Y,N,Y,"$7,459",298.00%,Ended,7459,1616169628577,March 15 2012,What might the world's most popular role-playing game have looked like if its creator had been allowed to continue developing it?,//s3.amazonaws.com/ksr/projects/96859/photo-small.jpg
"http://www.kickstarter.com/projects/460966263/bumps-in-the-night?ref=bggforums',",item2074415,,https://www.kicktraq.com/projects/460966263/bumps-in-the-night/,non-5E,https://rpggeek.com/rpg/310/call-cthulhu-2nd-6th-edition,,Bumps in the Night,April 17 2012,Y,USD,"12,013.00",1,"12,013.00",Y,N,Y,"$12,013",480.00%,Ended,12013,1616169628579,March 18 2012,We are raising a print budget for our collection of scenarios for the Call of Cthulhu role-playing game.,//s3.amazonaws.com/ksr/projects/73591/photo-small.jpg
